Year;Month;Day;Hour;Minute;Temperature daily mean [2 m above gnd];Relative Humidity daily mean [2 m above gnd];Mean Sea Level Pressure daily mean [MSL];Total Precipitation daily sum [sfc];Snowfall amount raw daily sum [sfc];Total Cloud Cover daily mean [sfc];High Cloud Cover daily mean [high cld lay];Medium Cloud Cover daily mean [mid cld lay];Low Cloud Cover daily mean [low cld lay];Sunshine Duration daily sum [sfc];Shortwave Radiation daily sum [sfc];Wind Speed daily mean [10 m above gnd];Wind Direction daily mean [10 m above gnd];Wind Speed daily mean [80 m above gnd];Wind Direction daily mean [80 m above gnd];Wind Speed daily mean [900 mb];Wind Direction daily mean [900 mb];Wind Gust daily mean [sfc];Temperature daily max [2 m above gnd];Temperature daily min [2 m above gnd];Relative Humidity daily max [2 m above gnd];Relative Humidity daily min [2 m above gnd];Mean Sea Level Pressure daily max [MSL];Mean Sea Level Pressure daily min [MSL];Total Cloud Cover daily max [sfc];Total Cloud Cover daily min [sfc];High Cloud Cover daily max [high cld lay];High Cloud Cover daily min [high cld lay];Medium Cloud Cover daily max [mid cld lay];Medium Cloud Cover daily min [mid cld lay];Low Cloud Cover daily max [low cld lay];Low Cloud Cover daily min [low cld lay];Wind Speed daily max [10 m above gnd];Wind Speed daily min [10 m above gnd];Wind Speed daily max [80 m above gnd];Wind Speed daily min [80 m above gnd];Wind Speed daily max [900 mb];Wind Speed daily min [900 mb];Wind Gust daily max [sfc];Wind Gust daily min [sfc]
2018;08;17;00;00;10.86;39.46;1014.29;0.00;0.00;3.54;0.00;0.00;3.54;551.55;4547.90;12.39;274.59;18.68;270.95;27.10;265.66;20.74;16.99;3.12;56.00;28.00;1016.00;1011.90;32.00;0.00;0.00;0.00;0.00;0.00;32.00;0.00;17.11;7.93;23.87;12.65;34.23;21.65;28.08;15.84
2018;08;18;00;00;11.43;41.12;1011.33;0.00;0.00;8.50;0.00;8.08;2.21;484.50;3916.00;21.92;295.03;31.61;296.24;50.25;270.83;32.77;20.58;4.36;55.00;28.00;1014.60;1006.40;86.00;0.00;0.00;0.00;86.00;0.00;13.00;0.00;34.68;12.90;48.42;20.67;73.54;35.30;48.96;20.52
2018;08;19;00;00;8.80;48.12;1013.34;0.00;0.00;2.62;0.00;0.42;2.33;632.56;4585.28;35.05;257.75;47.22;260.00;72.38;243.46;43.77;12.78;4.03;57.00;42.00;1017.40;1011.90;18.00;0.00;0.00;0.00;4.00;0.00;18.00;0.00;42.48;25.62;57.28;35.46;84.88;65.38;48.24;37.08
2018;08;20;00;00;8.96;41.17;1019.49;0.00;0.00;8.79;2.33;8.79;0.00;653.96;4686.74;23.14;240.94;28.25;240.10;59.11;220.08;28.29;13.89;3.99;51.00;32.00;1021.60;1017.40;74.00;0.00;31.00;0.00;74.00;0.00;0.00;0.00;34.35;1.44;44.45;1.53;94.00;18.95;41.04;6.12
2018;08;21;00;00;9.49;52.38;1014.56;0.00;0.00;1.42;0.00;1.29;0.12;723.12;4639.57;23.64;263.99;34.12;263.23;58.25;240.72;29.85;16.43;3.37;67.00;39.00;1017.40;1012.10;31.00;0.00;0.00;0.00;31.00;0.00;2.00;0.00;27.79;18.79;39.07;30.76;71.80;38.14;37.80;24.84
2018;08;22;00;00;10.80;58.83;1016.13;0.00;0.00;28.04;0.00;0.00;28.04;600.02;3473.67;16.44;206.90;20.62;206.49;28.95;203.93;15.74;15.29;5.65;73.00;45.00;1020.20;1013.30;100.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;24.65;10.39;31.70;11.16;70.60;6.12;28.08;5.04
2018;08;23;00;00;11.70;67.88;1021.48;0.00;0.00;96.62;0.00;0.00;96.62;0.00;2770.57;10.04;122.41;13.00;124.46;5.96;111.70;7.82;14.42;9.57;77.00;57.00;1024.00;1019.90;100.00;19.00;0.00;0.00;0.00;0.00;100.00;19.00;13.72;6.61;17.64;6.99;20.99;1.08;12.60;2.88
2018;08;24;00;00;12.96;70.04;1024.37;0.00;0.00;86.00;0.00;0.00;86.00;97.66;2759.89;11.28;51.53;13.90;51.30;22.67;43.53;12.16;15.44;10.86;82.00;57.00;1025.80;1022.90;100.00;10.00;0.00;0.00;0.00;0.00;100.00;10.00;19.26;4.20;25.01;4.55;32.77;16.18;19.44;7.20
2018;08;25;00;00;13.20;83.17;1021.80;5.60;0.00;70.04;16.08;58.88;69.71;0.00;1497.87;15.75;35.98;21.77;35.39;33.92;141.23;17.68;15.76;10.20;92.00;75.00;1024.10;1019.40;100.00;0.00;100.00;0.00;100.00;0.00;100.00;0.00;21.77;11.72;30.10;14.24;40.89;22.32;25.56;10.08
2018;08;26;00;00;14.19;76.75;1016.63;0.00;0.00;73.95;70.62;70.04;43.96;26.26;3139.92;10.03;187.85;12.00;173.65;18.96;294.16;11.76;18.47;10.30;94.00;56.00;1019.80;1013.70;100.00;0.00;100.00;0.00;100.00;0.00;100.00;0.00;16.61;4.80;21.98;2.88;26.28;12.30;25.20;2.88
2018;08;27;00;00;11.69;64.42;1020.70;0.00;0.00;83.58;6.67;19.25;71.96;104.68;3616.07;23.75;193.72;30.67;193.30;42.46;186.06;22.97;13.37;9.59;90.00;44.00;1025.50;1014.80;100.00;12.00;100.00;0.00;100.00;0.00;100.00;11.00;32.89;12.10;42.20;18.25;60.23;30.59;30.24;17.28
2018;08;28;00;00;10.30;49.08;1022.27;0.00;0.00;50.71;0.00;0.00;50.71;518.04;4952.85;13.85;202.87;15.68;202.21;18.66;207.45;14.28;13.43;7.96;64.00;36.00;1024.70;1019.50;100.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;19.56;8.05;25.50;7.93;34.95;7.24;25.92;4.68
2018;08;29;00;00;10.38;58.67;1019.12;0.00;0.00;1.29;0.00;0.00;1.29;738.33;5066.77;8.99;201.52;10.47;195.23;12.79;243.39;10.60;15.60;5.12;83.00;36.00;1020.30;1017.00;11.00;0.00;0.00;0.00;0.00;0.00;11.00;0.00;11.97;7.75;18.85;6.49;18.39;6.62;22.68;4.68
2018;08;30;00;00;10.57;57.33;1019.05;0.00;0.00;9.64;6.50;9.62;0.25;740.28;5115.72;8.37;141.22;11.48;141.18;13.63;261.05;9.76;16.21;4.07;72.00;42.00;1021.40;1016.80;100.00;0.00;100.00;0.00;100.00;0.00;3.00;0.00;13.76;0.80;23.20;2.04;22.46;4.45;22.32;2.16
2018;08;31;00;00;13.51;64.79;1007.53;0.00;0.00;64.54;12.92;64.12;29.00;33.83;2421.69;20.60;145.36;27.12;161.14;53.28;211.58;33.27;18.97;9.62;87.00;46.00;1016.50;1000.40;100.00;0.00;100.00;0.00;100.00;0.00;100.00;0.00;31.22;13.68;44.76;16.62;70.05;25.98;47.88;18.72
