Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2018;08;17;17;00;15.21;32.00;1012.50;0.00;0.00;18.00;0.00;0.00;18.00;22.44;169.10;9.73;272.12;14.04;270.00;21.99;272.82;22.32
2018;08;17;18;00;14.08;32.00;1013.10;0.00;0.00;6.00;0.00;0.00;6.00;0.00;13.35;7.93;272.60;12.96;270.00;24.52;273.37;17.64
2018;08;17;19;00;12.86;34.00;1013.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.29;272.49;13.34;266.91;24.84;270.00;16.92
2018;08;17;20;00;11.88;35.00;1014.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.31;274.97;12.65;265.10;24.52;266.63;18.00
2018;08;17;21;00;10.80;36.00;1014.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.06;276.84;13.00;265.24;23.98;262.23;15.84
2018;08;17;22;00;10.45;42.00;1015.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.66;281.69;18.13;276.84;32.05;255.03;16.56
2018;08;17;23;00;9.30;43.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.07;287.35;20.27;282.31;34.23;255.38;19.80
2018;08;18;00;00;8.30;43.00;1014.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.90;292.99;21.53;290.56;35.30;258.23;20.52
2018;08;18;01;00;7.39;42.00;1014.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.04;297.98;21.61;299.98;35.59;262.44;20.88
2018;08;18;02;00;6.59;42.00;1013.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.28;302.83;22.77;309.23;35.67;267.69;22.32
2018;08;18;03;00;5.87;42.00;1013.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.61;307.48;24.44;316.19;36.73;271.12;24.12
2018;08;18;04;00;5.24;43.00;1012.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.29;310.91;26.83;319.90;38.22;273.24;25.56
2018;08;18;05;00;4.75;43.00;1012.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.53;314.06;28.45;321.68;40.04;273.61;20.52
2018;08;18;06;00;4.55;43.00;1012.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.53;315.94;29.18;321.01;41.86;273.95;21.24
2018;08;18;07;00;4.36;44.00;1012.70;0.00;0.00;0.00;0.00;0.00;0.00;29.15;12.46;15.79;316.85;28.90;320.56;44.01;273.75;22.32
2018;08;18;08;00;7.73;43.00;1012.50;0.00;0.00;0.00;0.00;0.00;0.00;60.00;158.42;16.14;321.34;27.16;321.46;46.51;273.11;23.76
2018;08;18;09;00;11.99;42.00;1012.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;339.98;17.71;322.43;20.67;324.93;48.62;271.70;25.20
2018;08;18;10;00;15.39;41.00;1011.10;0.00;0.00;0.00;0.00;0.00;0.00;60.00;490.39;19.91;319.40;22.26;320.91;49.73;272.49;29.16
2018;08;18;11;00;17.69;35.00;1010.20;0.00;0.00;0.00;0.00;0.00;0.00;60.00;598.08;21.90;313.67;24.97;312.66;45.40;280.51;32.76
2018;08;18;12;00;19.32;33.00;1009.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;653.26;22.83;307.95;27.16;304.74;42.45;292.43;37.08
2018;08;18;13;00;20.25;30.00;1007.40;0.00;0.00;10.00;0.00;0.00;10.00;53.62;645.25;23.27;304.92;28.59;301.09;44.78;294.71;43.56
2018;08;18;14;00;20.58;28.00;1006.40;0.00;0.00;10.00;0.00;10.00;10.00;53.62;563.37;22.97;302.20;28.85;299.12;46.14;292.96;48.96
2018;08;18;15;00;19.00;29.00;1006.70;0.00;0.00;86.00;0.00;86.00;10.00;5.11;225.17;24.27;290.85;33.97;285.36;50.30;284.93;48.60
2018;08;18;16;00;17.88;30.00;1007.20;0.00;0.00;47.00;0.00;47.00;10.00;30.00;122.82;27.19;276.84;41.41;271.00;54.31;276.09;39.60
2018;08;18;17;00;16.03;36.00;1008.40;0.00;0.00;51.00;0.00;51.00;13.00;13.02;92.56;32.11;266.14;47.36;264.77;56.88;269.64;41.76
2018;08;18;18;00;13.58;42.00;1010.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.24;33.15;261.25;46.53;262.00;59.04;263.70;41.76
2018;08;18;19;00;11.62;47.00;1011.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;34.68;260.44;48.42;261.45;64.32;258.38;42.48
2018;08;18;20;00;10.15;49.00;1012.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;33.86;261.44;46.53;262.00;73.54;251.74;41.04
2018;08;18;21;00;9.10;50.00;1013.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;31.09;264.69;41.50;266.02;72.61;247.25;38.52
2018;08;18;22;00;8.74;55.00;1013.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;25.94;272.39;35.43;275.25;70.61;259.72;37.80
2018;08;18;23;00;8.11;55.00;1012.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;24.97;275.79;34.16;277.87;73.26;256.65;37.08
2018;08;19;00;00;7.59;54.00;1012.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;25.62;274.03;35.46;275.83;70.83;252.85;37.08
2018;08;19;01;00;7.12;51.00;1013.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;26.64;270.00;37.44;270.55;65.83;253.15;38.52
2018;08;19;02;00;6.82;47.00;1013.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;28.10;267.80;40.72;267.47;66.62;255.29;39.60
2018;08;19;03;00;6.09;47.00;1012.60;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;29.56;267.21;42.24;265.60;67.84;256.18;40.32
2018;08;19;04;00;5.30;49.00;1012.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;29.90;267.93;42.18;267.06;70.96;253.50;41.04
2018;08;19;05;00;4.60;51.00;1012.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;29.89;268.62;42.13;268.53;74.12;252.18;43.20
2018;08;19;06;00;4.03;54.00;1012.60;0.00;0.00;18.00;0.00;0.00;18.00;24.47;0.00;30.60;269.33;43.57;269.05;78.22;252.32;44.28
2018;08;19;07;00;4.47;57.00;1012.90;0.00;0.00;5.00;0.00;0.00;5.00;56.81;14.24;32.05;268.71;45.76;267.75;81.29;250.60;44.64
2018;08;19;08;00;7.07;54.00;1013.00;0.00;0.00;5.00;0.00;0.00;5.00;56.81;165.54;34.27;266.39;46.85;267.36;84.88;245.17;46.08
