Year,Month,Day,Hour,Minute,Temperature,Relative Humidity  [2 m above gnd],Mean Sea Level Pressure  [MSL],Total Precipitation  [sfc],Total Cloud Cover  [sfc],High Cloud Cover  [high cld lay],Medium Cloud Cover  [mid cld lay],Low Cloud Cover  [low cld lay],Sunshine Duration  [sfc],Shortwave Radiation  [sfc],Wind Speed  [10 m above gnd],Wind Direction  [10 m above gnd]
2018,7,9,0,0,20.51,68,1019.2,0,0,0,0,0,0,0,11.59,334.23
2018,7,9,1,0,19.37,74,1019.4,0,0,0,0,0,0,0,10.59,342.18
2018,7,9,2,0,18.28,79,1019,0,0,0,0,0,0,0,8.05,333.43
2018,7,9,3,0,17.43,83,1019.2,0,0,0,0,0,0,0,7.13,315
2018,7,9,4,0,16.65,83,1019.2,0,0,0,0,0,0,0,12.1,306.53
2018,7,9,5,0,15.36,82,1019,0,0,0,0,0,7.81,0,13.9,306.57
2018,7,9,6,0,14.72,81,1019.2,0,10,21,0,10,53.62,45.39,14.17,297.22
2018,7,9,7,0,14.97,79,1018.8,0,11.7,39,0,0,52.53,173.55,13.53,295.2
2018,7,9,8,0,16.51,74,1018.8,0,8.4,28,2,0,54.64,315.95,14.37,292.07
2018,7,9,9,0,18.19,68,1018.8,0,66,0,66,10,17.87,429.87,15.32,293.55
2018,7,9,10,0,20.03,61,1018.3,0,50,0,50,0,28.09,547.35,15.48,287.59
2018,7,9,11,0,21.67,54,1018.2,0,0,0,0,0,60,677.29,17.42,288.06
2018,7,9,12,0,22.79,49,1017.8,0,0,0,0,0,60,764.51,18.69,285.64
2018,7,9,13,0,23.66,41,1017.2,0,0,0,0,0,60,813.46,18.84,296.08
2018,7,9,14,0,23.68,46,1017,0,10,0,0,10,53.62,809.9,17.42,288.06
2018,7,9,15,0,24.61,46,1016.2,0,10,0,0,10,53.62,747.6,17.87,288.8
2018,7,9,16,0,25,44,1015.3,0,10,1,0,10,53.62,586.51,17.19,289.57
2018,7,9,17,0,25.55,42,1015,0,10,21,0,10,53.62,586.51,16.62,287.65
2018,7,9,18,0,25.05,43,1014.4,0,47,100,47,22,30,374.69,18.46,290.56
2018,7,9,19,0,24.1,43,1014.4,0,100,100,100,10,0,193.13,22.47,305.22
2018,7,9,20,0,22.64,45,1014.9,0,100,100,100,0,0,182.45,22.47,305.22
2018,7,9,21,0,20.49,51,1014.9,0,100,100,100,0,0,78.32,22.4,315
2018,7,9,22,0,18.8,56,1015.4,0,100,100,100,0,0,5.34,19.91,310.6
2018,7,9,23,0,17.75,58,1016.1,0,100,46,100,6,0,0,18.28,302.12
2018,7,10,0,0,16.79,60,1016,0,100,100,100,0,0,0,17.28,305.68
2018,7,10,1,0,16.11,63,1015.9,0,100,29,100,100,0,0,16.18,302.28
2018,7,10,2,0,15.35,66,1015.6,0,100,100,100,2,0,0,14.17,297.22
2018,7,10,3,0,14.84,68,1015.7,0,100,100,100,48,0,0,14.12,289.36
2018,7,10,4,0,14.39,72,1015.8,0,100,4,94,100,0,0,13.85,278.97
2018,7,10,5,0,13.94,75,1015.5,0,100,0,15,100,0,0,13.56,280.71
2018,7,10,6,0,13.74,75,1015.5,0,10,0,0,10,53.62,27.59,11.37,280.95
2018,7,10,7,0,13.92,74,1015.7,0,10,0,0,10,53.62,161.09,10.18,278.13
2018,7,10,8,0,14.61,70,1015.7,0,10,0,0,10,53.62,296.37,9.06,263.16
2018,7,10,9,0,15.63,62,1015.4,0,10,0,0,10,53.62,433.43,9.34,242.45
2018,7,10,10,0,16.72,56,1015.5,0,10,0,0,10,53.62,560.7,8.5,233.62
2018,7,10,11,0,17.83,50,1015.8,0,2,0,0,2,58.72,671.95,5.86,227.49
2018,7,10,12,0,18.79,45,1015.4,0,100,0,0,100,0,766.29,3.4,212.01
2018,7,10,13,0,19.13,44,1015.5,0,10,0,0,10,53.62,632.79,0.36,180
2018,7,10,14,0,15.72,71,1015.9,0.2,100,100,100,100,0,213.6,13.9,126.57
2018,7,10,15,0,16.88,65,1015.4,0.3,100,73,100,100,0,436.99,11.84,109.54
2018,7,10,16,0,17.22,61,1015.2,0.2,100,100,100,100,0,472.59,8.83,101.77
2018,7,10,17,0,16.87,62,1015.5,0.2,100,100,100,100,0,212.71,4.69,147.53
2018,7,10,18,0,16.64,64,1015.7,0.1,100,100,100,100,0,97.01,3.22,243.43
2018,7,10,19,0,16.57,65,1015.5,0.2,100,100,100,100,0,56.96,8.67,274.76
2018,7,10,20,0,14.9,81,1015.4,1,100,100,100,100,0,14.24,2.9,187.13
2018,7,10,21,0,14.43,88,1015,3.7,100,100,100,100,0,10.68,7.2,360
2018,7,10,22,0,14.39,88,1015.1,5,100,11,100,100,0,0,8.35,352.57
2018,7,10,23,0,14.43,88,1015.3,5.2,100,100,100,11,0,0,8.05,333.43
2018,7,11,0,0,14.34,88,1014.6,6,100,28,100,100,0,0,9.9,340.91
2018,7,11,1,0,14.21,89,1014.2,5.6,100,46,100,100,0,0,7.13,315
2018,7,11,2,0,14.11,90,1013.8,2.4,100,100,63,100,0,0,9,286.26
2018,7,11,3,0,14.05,90,1013.4,0.3,100,100,100,100,0,0,11.57,275.36
2018,7,11,4,0,14.03,90,1012.9,0,100,26,100,100,0,0,11.57,264.64
2018,7,11,5,0,13.99,91,1012.7,0,100,100,100,100,0,0,11.25,230.19
2018,7,11,6,0,13.83,91,1012.8,0,100,100,100,100,0,3.56,10.23,219.29
2018,7,11,7,0,14.56,87,1012.2,0,51,21,34,51,27.45,82.77,11.09,234.25
2018,7,11,8,0,15.46,82,1012.3,0,100,100,100,100,0,247.42,7.93,219.47
