Year;Month;Day;Hour;Minute;Temperature daily mean [2 m above gnd];Relative Humidity daily mean [2 m above gnd];Mean Sea Level Pressure daily mean [MSL];Total Precipitation daily sum [sfc];Snowfall amount raw daily sum [sfc];Total Cloud Cover daily mean [sfc];High Cloud Cover daily mean [high cld lay];Medium Cloud Cover daily mean [mid cld lay];Low Cloud Cover daily mean [low cld lay];Sunshine Duration daily sum [sfc];Shortwave Radiation daily sum [sfc];Wind Speed daily mean [10 m above gnd];Wind Direction daily mean [10 m above gnd];Wind Speed daily mean [80 m above gnd];Wind Direction daily mean [80 m above gnd];Wind Speed daily mean [900 mb];Wind Direction daily mean [900 mb];Wind Gust daily mean [sfc];Temperature daily max [2 m above gnd];Temperature daily min [2 m above gnd];Relative Humidity daily max [2 m above gnd];Relative Humidity daily min [2 m above gnd];Mean Sea Level Pressure daily max [MSL];Mean Sea Level Pressure daily min [MSL];Total Cloud Cover daily max [sfc];Total Cloud Cover daily min [sfc];High Cloud Cover daily max [high cld lay];High Cloud Cover daily min [high cld lay];Medium Cloud Cover daily max [mid cld lay];Medium Cloud Cover daily min [mid cld lay];Low Cloud Cover daily max [low cld lay];Low Cloud Cover daily min [low cld lay];Wind Speed daily max [10 m above gnd];Wind Speed daily min [10 m above gnd];Wind Speed daily max [80 m above gnd];Wind Speed daily min [80 m above gnd];Wind Speed daily max [900 mb];Wind Speed daily min [900 mb];Wind Gust daily max [sfc];Wind Gust daily min [sfc]
2018;08;19;00;00;23.03;55.58;1020.61;0.00;0.00;4.12;6.25;0.00;3.33;882.23;6373.29;7.83;228.73;10.90;199.49;12.62;231.55;11.37;29.07;17.11;82.00;37.00;1022.60;1018.00;10.00;0.00;31.00;0.00;0.00;0.00;10.00;0.00;14.84;0.00;27.50;1.94;26.40;3.67;22.32;2.52
2018;08;20;00;00;22.15;61.21;1018.18;0.00;0.00;3.12;0.83;0.00;2.92;816.75;6107.18;15.79;272.43;22.57;283.84;27.61;284.32;21.54;26.80;16.83;76.00;51.00;1019.50;1017.30;10.00;0.00;5.00;0.00;0.00;0.00;10.00;0.00;23.40;9.45;29.72;18.72;38.52;17.10;28.08;15.48
2018;08;21;00;00;20.43;64.67;1020.63;0.00;0.00;26.85;9.17;0.00;25.54;496.57;5836.62;8.80;96.78;14.09;102.24;7.88;186.57;14.26;24.84;15.41;86.00;50.00;1021.70;1019.70;100.00;0.00;19.00;0.00;0.00;0.00;100.00;0.00;12.72;2.97;23.07;6.84;16.43;0.72;20.16;8.28
2018;08;22;00;00;22.90;57.75;1018.39;0.00;0.00;5.40;6.29;0.00;5.00;798.20;6068.02;6.87;146.86;10.92;147.38;9.55;187.24;14.62;28.93;15.55;81.00;38.00;1020.80;1015.90;10.00;0.00;17.00;0.00;0.00;0.00;10.00;0.00;13.89;0.00;24.09;0.72;16.92;3.08;23.76;1.80
2018;08;23;00;00;25.42;49.67;1012.82;2.10;0.00;4.28;1.04;3.83;4.17;795.91;5917.61;15.53;225.75;21.73;231.68;24.12;240.15;20.83;31.53;19.10;68.00;32.00;1016.10;1009.90;10.00;0.00;9.00;0.00;10.00;0.00;10.00;0.00;26.16;5.35;29.88;7.57;34.07;14.66;31.68;9.36
2018;08;24;00;00;20.43;60.92;1010.10;1.10;0.00;74.07;52.29;66.54;43.42;203.81;4541.67;17.95;255.17;22.13;266.51;27.04;263.06;24.03;23.71;15.92;81.00;46.00;1011.80;1009.00;100.00;0.00;100.00;0.00;100.00;0.00;100.00;0.00;29.56;6.12;32.79;8.22;37.48;8.89;36.36;8.28
2018;08;25;00;00;14.82;63.08;1010.84;0.90;0.00;40.03;9.92;22.67;31.92;613.84;4587.95;20.78;245.68;28.08;249.59;32.52;262.79;27.14;17.82;9.90;91.00;45.00;1013.90;1009.60;100.00;0.00;67.00;0.00;100.00;0.00;100.00;0.00;31.19;11.98;35.53;19.38;41.68;19.49;40.68;18.00
2018;08;26;00;00;13.43;61.25;1016.35;0.00;0.00;19.25;3.29;2.38;16.42;671.52;6173.04;14.05;264.96;19.55;269.42;22.98;275.34;18.67;19.23;7.70;92.00;36.00;1017.80;1014.50;100.00;0.00;29.00;0.00;40.00;0.00;100.00;0.00;19.47;8.16;28.95;11.84;33.37;13.05;26.64;11.16
2018;08;27;00;00;17.15;54.33;1013.82;0.00;0.00;61.12;9.00;9.88;51.67;293.87;4252.42;23.24;219.44;33.23;224.04;46.19;238.96;32.67;23.29;10.44;74.00;34.00;1016.00;1011.90;100.00;0.00;100.00;0.00;89.00;0.00;100.00;0.00;36.75;11.97;43.38;24.36;62.38;27.58;41.40;21.60
2018;08;28;00;00;17.97;61.46;1019.07;0.00;0.00;5.28;0.92;0.00;5.00;832.16;6066.24;7.79;225.42;11.07;229.24;15.06;244.67;13.34;23.22;11.55;87.00;41.00;1020.50;1016.40;100.00;0.00;19.00;0.00;0.00;0.00;100.00;0.00;17.45;0.72;25.76;0.80;34.94;0.72;28.08;6.12
2018;08;29;00;00;21.10;56.92;1015.08;0.30;0.00;25.64;24.38;23.29;0.83;688.96;5934.52;11.52;179.05;19.06;181.83;16.76;193.66;17.37;28.10;13.04;80.00;37.00;1018.90;1011.90;100.00;0.00;100.00;0.00;100.00;0.00;10.00;0.00;21.67;7.99;30.14;7.21;36.58;7.17;30.24;8.64
2018;08;30;00;00;17.85;74.04;1016.91;0.40;0.00;72.41;18.33;17.12;60.08;222.37;3372.21;19.20;275.23;26.85;279.70;36.30;287.41;24.93;20.30;15.74;93.00;54.00;1020.90;1013.30;100.00;2.00;100.00;0.00;100.00;0.00;100.00;0.00;27.68;9.03;32.34;17.38;44.32;23.78;30.96;15.48
2018;08;31;00;00;15.88;61.42;1021.18;0.00;0.00;67.46;51.08;47.46;39.08;201.70;4915.47;7.76;271.73;11.57;222.18;12.26;252.43;11.89;20.52;10.12;96.00;40.00;1022.60;1020.00;100.00;0.00;100.00;0.00;100.00;0.00;100.00;0.00;10.09;3.60;20.38;2.55;19.96;3.26;18.00;5.04
