Year;Month;Day;Hour;Minute;Temperature daily mean [2 m above gnd];Relative Humidity daily mean [2 m above gnd];Mean Sea Level Pressure daily mean [MSL];Total Precipitation daily sum [sfc];Snowfall amount raw daily sum [sfc];Total Cloud Cover daily mean [sfc];High Cloud Cover daily mean [high cld lay];Medium Cloud Cover daily mean [mid cld lay];Low Cloud Cover daily mean [low cld lay];Sunshine Duration daily sum [sfc];Shortwave Radiation daily sum [sfc];Wind Speed daily mean [10 m above gnd];Wind Direction daily mean [10 m above gnd];Wind Speed daily mean [80 m above gnd];Wind Direction daily mean [80 m above gnd];Wind Speed daily mean [900 mb];Wind Direction daily mean [900 mb];Wind Gust daily mean [sfc];Temperature daily max [2 m above gnd];Temperature daily min [2 m above gnd];Relative Humidity daily max [2 m above gnd];Relative Humidity daily min [2 m above gnd];Mean Sea Level Pressure daily max [MSL];Mean Sea Level Pressure daily min [MSL];Total Cloud Cover daily max [sfc];Total Cloud Cover daily min [sfc];High Cloud Cover daily max [high cld lay];High Cloud Cover daily min [high cld lay];Medium Cloud Cover daily max [mid cld lay];Medium Cloud Cover daily min [mid cld lay];Low Cloud Cover daily max [low cld lay];Low Cloud Cover daily min [low cld lay];Wind Speed daily max [10 m above gnd];Wind Speed daily min [10 m above gnd];Wind Speed daily max [80 m above gnd];Wind Speed daily min [80 m above gnd];Wind Speed daily max [900 mb];Wind Speed daily min [900 mb];Wind Gust daily max [sfc];Wind Gust daily min [sfc]
2018;08;05;00;00;21.53;61.96;1020.03;0.00;0.00;4.20;4.21;0.83;3.33;878.51;6573.54;11.28;234.06;16.12;179.99;15.24;197.36;16.17;25.72;16.08;93.00;45.00;1021.30;1018.20;10.00;0.00;29.00;0.00;10.00;0.00;10.00;0.00;15.63;5.19;26.44;7.57;24.96;9.53;21.96;10.80
2018;08;06;00;00;22.19;50.96;1018.37;0.00;0.00;0.00;0.00;0.00;0.00;910.18;7169.84;8.69;147.66;12.22;121.28;13.03;114.90;12.63;28.07;15.65;68.00;38.00;1021.30;1015.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.40;2.31;26.76;2.55;21.65;6.84;21.96;5.04
2018;08;07;00;00;25.66;55.38;1013.08;0.00;0.00;41.17;27.50;34.92;7.50;464.73;6359.05;14.57;189.30;22.86;193.22;18.46;215.44;19.35;32.66;17.33;77.00;32.00;1015.70;1010.90;100.00;0.00;100.00;0.00;100.00;0.00;100.00;0.00;21.29;9.96;33.45;16.62;28.39;8.40;31.68;13.68
2018;08;08;00;00;26.93;55.62;1011.89;0.70;0.00;23.64;30.25;20.42;4.17;618.65;6140.11;17.74;220.98;25.86;227.06;27.88;238.33;23.67;33.71;20.69;76.00;36.00;1015.20;1010.50;100.00;0.00;100.00;0.00;100.00;0.00;10.00;0.00;27.66;8.47;33.97;15.46;41.05;16.20;32.76;16.20
2018;08;09;00;00;25.38;58.00;1014.14;4.50;0.00;55.39;22.04;45.04;20.79;257.20;5144.20;14.52;173.15;19.19;172.11;23.36;196.73;18.56;31.16;20.86;78.00;40.00;1016.60;1010.60;100.00;0.00;100.00;0.00;100.00;0.00;100.00;0.00;23.73;1.53;34.74;4.80;58.83;9.09;30.60;3.96
2018;08;10;00;00;19.40;55.29;1020.93;0.20;0.00;31.16;4.54;14.75;22.38;820.06;7026.55;22.36;252.29;28.42;253.52;41.82;255.98;32.62;23.66;12.73;82.00;33.00;1023.20;1014.30;100.00;0.00;27.00;0.00;100.00;0.00;100.00;0.00;34.29;7.75;45.41;16.66;73.43;21.43;43.20;16.20
2018;08;11;00;00;18.33;51.62;1021.17;1.20;0.00;52.62;2.75;40.71;30.38;438.60;5321.31;18.58;248.15;25.88;256.83;32.83;260.71;26.36;22.24;14.19;72.00;35.00;1022.70;1020.30;100.00;0.00;23.00;0.00;100.00;0.00;100.00;0.00;29.60;9.73;33.13;17.56;39.06;22.66;36.72;18.00
2018;08;12;00;00;19.89;45.25;1017.55;0.00;0.00;42.59;52.71;39.12;0.00;533.83;6438.26;11.04;217.28;12.75;227.70;18.35;238.83;15.24;26.28;12.82;56.00;33.00;1022.10;1012.60;100.00;1.50;100.00;5.00;100.00;0.00;0.00;0.00;16.28;5.15;17.21;8.77;26.58;15.02;22.68;8.28
2018;08;13;00;00;21.15;63.42;1009.46;2.30;0.00;48.41;31.67;39.25;28.88;283.17;3738.00;16.28;222.02;24.19;228.40;33.51;242.57;23.85;27.75;15.16;88.00;37.00;1011.90;1007.40;100.00;0.00;100.00;0.00;100.00;0.00;100.00;0.00;33.38;9.11;44.11;9.00;53.51;12.72;35.28;14.76
2018;08;14;00;00;18.19;72.25;1012.36;0.50;0.00;25.01;11.46;6.12;22.00;576.30;4416.18;19.59;255.29;27.88;260.72;38.08;272.31;26.70;22.25;12.99;92.00;55.00;1016.10;1010.00;100.00;0.00;100.00;0.00;61.00;0.00;100.00;0.00;26.64;11.54;31.32;23.27;47.88;28.70;32.40;19.08
2018;08;15;00;00;19.64;63.54;1018.19;0.00;0.00;32.27;20.88;13.96;16.62;529.95;5522.45;12.38;258.21;16.43;269.85;21.51;283.92;16.18;24.47;13.24;90.00;46.00;1019.70;1016.10;100.00;0.00;100.00;0.00;100.00;0.00;100.00;0.00;20.21;7.75;33.00;9.11;34.27;6.49;25.92;10.80
2018;08;16;00;00;22.24;58.75;1017.22;0.00;0.00;0.85;0.04;0.00;0.83;923.29;6557.52;9.07;199.20;10.95;202.29;11.87;212.86;10.86;28.68;14.27;80.00;41.00;1020.00;1014.20;10.00;0.00;1.00;0.00;0.00;0.00;10.00;0.00;11.18;5.51;17.45;6.16;17.34;4.39;16.20;7.92
