Year;Month;Day;Hour;Minute;Temperature daily mean [2 m above gnd];Relative Humidity daily mean [2 m above gnd];Mean Sea Level Pressure daily mean [MSL];Total Precipitation daily sum [sfc];Snowfall amount raw daily sum [sfc];Total Cloud Cover daily mean [sfc];High Cloud Cover daily mean [high cld lay];Medium Cloud Cover daily mean [mid cld lay];Low Cloud Cover daily mean [low cld lay];Sunshine Duration daily sum [sfc];Shortwave Radiation daily sum [sfc];Wind Speed daily mean [10 m above gnd];Wind Direction daily mean [10 m above gnd];Wind Speed daily mean [80 m above gnd];Wind Direction daily mean [80 m above gnd];Wind Speed daily mean [900 mb];Wind Direction daily mean [900 mb];Wind Gust daily mean [sfc];Temperature daily max [2 m above gnd];Temperature daily min [2 m above gnd];Relative Humidity daily max [2 m above gnd];Relative Humidity daily min [2 m above gnd];Mean Sea Level Pressure daily max [MSL];Mean Sea Level Pressure daily min [MSL];Total Cloud Cover daily max [sfc];Total Cloud Cover daily min [sfc];High Cloud Cover daily max [high cld lay];High Cloud Cover daily min [high cld lay];Medium Cloud Cover daily max [mid cld lay];Medium Cloud Cover daily min [mid cld lay];Low Cloud Cover daily max [low cld lay];Low Cloud Cover daily min [low cld lay];Wind Speed daily max [10 m above gnd];Wind Speed daily min [10 m above gnd];Wind Speed daily max [80 m above gnd];Wind Speed daily min [80 m above gnd];Wind Speed daily max [900 mb];Wind Speed daily min [900 mb];Wind Gust daily max [sfc];Wind Gust daily min [sfc]
2018;08;02;00;00;8.81;71.71;1024.75;0.00;0.00;30.26;2.50;28.04;4.17;454.08;3906.21;15.68;56.55;19.18;100.53;17.25;67.28;15.15;10.69;7.56;89.00;60.00;1026.20;1022.90;100.00;0.00;30.00;0.00;65.00;0.00;100.00;0.00;23.09;6.99;29.02;8.44;47.11;1.44;29.16;5.76
2018;08;03;00;00;10.34;89.04;1020.75;0.00;0.00;51.00;2.62;8.71;48.96;49.61;2427.92;12.33;131.40;15.75;128.11;19.43;95.53;12.57;13.71;7.69;95.00;80.00;1023.30;1018.70;100.00;0.00;37.00;0.00;95.00;0.00;100.00;0.00;21.49;4.83;27.15;5.15;43.36;3.62;28.08;3.60
2018;08;04;00;00;10.18;91.21;1019.95;0.00;0.00;69.62;1.29;0.00;69.62;166.33;1902.82;11.13;255.14;13.75;251.11;17.32;183.48;15.12;13.91;7.18;97.00;76.00;1021.30;1018.10;100.00;0.00;19.00;0.00;0.00;0.00;100.00;0.00;15.58;2.31;21.03;2.55;29.88;7.24;25.92;5.40
2018;08;05;00;00;11.72;78.67;1018.80;0.00;0.00;44.80;17.62;17.17;37.50;554.39;3978.30;14.00;328.25;20.38;320.80;18.24;267.89;17.61;17.09;6.44;96.00;56.00;1020.20;1017.20;100.00;0.00;100.00;0.00;100.00;0.00;100.00;0.00;19.05;9.79;34.88;11.53;26.63;4.33;23.04;13.32
2018;08;06;00;00;12.84;76.79;1018.20;0.00;0.00;7.59;10.21;6.62;0.00;557.13;3960.50;17.11;214.65;27.81;236.77;30.40;312.23;27.89;17.02;8.78;87.00;65.00;1020.40;1015.80;100.00;0.00;100.00;0.00;100.00;0.00;0.00;0.00;22.80;12.26;38.52;18.10;56.48;13.71;45.72;18.72
2018;08;07;00;00;14.17;80.17;1014.08;0.00;0.00;53.30;46.08;40.04;13.38;315.55;3608.95;23.44;51.67;35.00;107.14;60.77;329.95;36.88;18.31;10.99;91.00;67.00;1015.60;1011.80;100.00;0.00;100.00;0.00;100.00;0.00;100.00;0.00;28.27;16.24;40.48;30.97;69.93;47.13;50.40;19.80
2018;08;08;00;00;11.38;89.12;1014.51;22.90;0.00;100.00;17.08;58.96;95.83;0.00;1314.53;24.95;255.67;30.60;253.10;43.91;230.44;28.18;15.03;6.45;95.00;80.00;1019.10;1012.50;100.00;100.00;100.00;0.00;100.00;0.00;100.00;0.00;44.12;11.97;54.28;13.10;91.66;9.03;55.80;12.96
2018;08;09;00;00;7.69;78.12;1022.77;1.10;0.00;77.50;0.00;4.17;77.50;321.70;3768.26;31.37;186.71;37.09;185.79;56.07;157.67;36.69;11.31;4.57;95.00;61.00;1024.50;1019.30;100.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;42.98;21.32;52.38;24.64;89.59;28.66;53.64;21.60
2018;08;10;00;00;8.70;79.88;1022.95;0.00;0.00;79.75;0.21;0.00;79.75;291.06;3810.98;16.00;203.68;18.39;202.34;24.04;144.38;18.27;13.55;3.49;90.00;70.00;1024.60;1021.40;100.00;0.00;5.00;0.00;0.00;0.00;100.00;0.00;20.72;7.21;23.62;10.81;36.78;11.87;25.20;12.96
2018;08;11;00;00;11.59;89.92;1022.82;0.00;0.00;100.00;12.71;0.17;100.00;0.00;1974.02;8.03;79.51;9.84;89.50;20.48;77.23;12.57;13.11;10.50;96.00;83.00;1023.80;1021.80;100.00;100.00;100.00;0.00;4.00;0.00;100.00;100.00;17.42;2.55;23.47;3.71;38.99;6.99;23.04;5.40
2018;08;12;00;00;12.00;92.71;1021.05;0.00;0.00;100.00;20.50;0.00;100.00;0.00;3009.09;12.33;49.48;15.92;40.47;34.92;340.72;20.44;13.48;10.95;97.00;87.00;1022.30;1018.90;100.00;100.00;100.00;0.00;0.00;0.00;100.00;100.00;17.30;6.64;25.46;7.99;41.38;28.20;29.16;15.12
2018;08;13;00;00;12.68;92.62;1015.91;0.10;0.00;88.38;59.21;7.00;87.50;0.00;1732.83;12.59;77.74;17.39;86.97;27.73;321.36;17.83;14.32;11.48;97.00;86.00;1018.60;1013.50;100.00;6.60;100.00;0.00;100.00;0.00;100.00;0.00;20.72;3.96;28.40;5.99;37.86;22.39;32.76;8.64
2018;08;14;00;00;13.05;77.83;1020.97;0.00;0.00;23.75;0.00;0.04;23.75;435.04;3990.76;17.55;232.43;23.30;230.25;42.97;216.54;26.43;16.21;9.45;95.00;61.00;1024.90;1016.70;100.00;0.00;0.00;0.00;1.00;0.00;100.00;0.00;24.49;10.99;32.87;15.78;72.60;24.48;37.44;14.04
2018;08;15;00;00;9.40;76.67;1026.66;0.00;0.00;18.30;27.67;16.25;0.00;564.67;4421.52;9.88;117.45;14.33;109.79;16.04;147.95;14.30;12.49;5.55;92.00;47.00;1028.30;1025.10;100.00;0.00;100.00;0.00;100.00;0.00;0.00;0.00;15.16;6.12;22.35;6.64;25.10;10.18;25.20;6.48
2018;08;16;00;00;13.08;77.21;1025.40;0.00;0.00;20.33;22.88;19.92;0.00;564.35;4416.18;15.76;22.11;22.98;16.27;26.71;278.12;24.36;16.24;10.54;88.00;64.00;1026.80;1023.80;100.00;0.00;100.00;0.00;100.00;0.00;0.00;0.00;23.58;11.12;30.43;16.20;39.52;16.74;33.48;17.28
